Ticker,Name,Series Type,Currency,Country,Units,Scale,Flow,Adjustment,Corporate_History
CMSIGBW,London Silver Price (Pence/Ounce),Commodity Prices,United Kingdom Pound,United Kingdom,GBP per Troy Ounce,Pence,Stock,none,
Date,Ticker,Close
12/31/1677,CMSIGBW,67.005
12/31/1678,CMSIGBW,67.005
12/31/1679,CMSIGBW,67.005
12/31/1680,CMSIGBW,67.005
12/31/1681,CMSIGBW,67.005
12/31/1682,CMSIGBW,67.005
12/31/1683,CMSIGBW,67.005
12/31/1684,CMSIGBW,67.005
12/31/1685,CMSIGBW,67.005
12/31/1686,CMSIGBW,67.005
12/31/1687,CMSIGBW,64.99
12/31/1688,CMSIGBW,64.99
12/31/1689,CMSIGBW,64.64
12/31/1690,CMSIGBW,64.64
12/31/1691,CMSIGBW,64.81
12/31/1692,CMSIGBW,65.07
12/31/1693,CMSIGBW,65.47
12/31/1694,CMSIGBW,65.29
12/31/1695,CMSIGBW,64.64
12/31/1696,CMSIGBW,71.2
12/31/1697,CMSIGBW,70.26
12/31/1698,CMSIGBW,70.87
12/31/1699,CMSIGBW,69.86
12/31/1700,CMSIGBW,70.47
12/31/1701,CMSIGBW,69.26
12/31/1702,CMSIGBW,67.25
12/31/1703,CMSIGBW,68.8
12/31/1704,CMSIGBW,68.58
12/31/1705,CMSIGBW,69.08
12/31/1706,CMSIGBW,68.35
12/31/1707,CMSIGBW,67.6
12/31/1708,CMSIGBW,67.73
12/31/1709,CMSIGBW,68.17
12/31/1710,CMSIGBW,68.58
12/31/1711,CMSIGBW,68.26
12/31/1712,CMSIGBW,68.17
12/31/1713,CMSIGBW,68.49
12/31/1714,CMSIGBW,68.98
12/31/1715,CMSIGBW,69.08
12/31/1716,CMSIGBW,69.17
12/31/1717,CMSIGBW,67.38
12/31/1718,CMSIGBW,65.25
12/31/1719,CMSIGBW,65
12/31/1720,CMSIGBW,65.5
12/31/1721,CMSIGBW,64
12/31/1722,CMSIGBW,64.125
12/31/1723,CMSIGBW,64.25
12/31/1724,CMSIGBW,64.5
12/31/1725,CMSIGBW,66
12/31/1726,CMSIGBW,65.25
12/31/1727,CMSIGBW,66.5
12/31/1728,CMSIGBW,66.25
12/31/1729,CMSIGBW,66
12/31/1730,CMSIGBW,65.25
12/31/1731,CMSIGBW,64.25
12/31/1732,CMSIGBW,65.5
12/31/1733,CMSIGBW,62.75
12/31/1734,CMSIGBW,62.25
12/31/1735,CMSIGBW,62.5
12/31/1736,CMSIGBW,63
12/31/1737,CMSIGBW,63.25
12/31/1738,CMSIGBW,64.375
12/31/1739,CMSIGBW,65
12/31/1740,CMSIGBW,67.75
12/31/1741,CMSIGBW,68
12/31/1742,CMSIGBW,66.75
12/31/1743,CMSIGBW,67
12/31/1744,CMSIGBW,67.625
12/31/1745,CMSIGBW,60
12/31/1746,CMSIGBW,65
12/31/1747,CMSIGBW,63.5
12/31/1748,CMSIGBW,64.75
12/31/1749,CMSIGBW,63.75
12/31/1750,CMSIGBW,64
12/31/1751,CMSIGBW,64.75
12/31/1752,CMSIGBW,65.75
12/31/1753,CMSIGBW,65.625
12/31/1754,CMSIGBW,63.75
12/31/1755,CMSIGBW,64
12/31/1756,CMSIGBW,62.25
12/31/1757,CMSIGBW,64.25
12/31/1758,CMSIGBW,67.625
12/31/1759,CMSIGBW,65.75
12/31/1760,CMSIGBW,67.75
12/31/1761,CMSIGBW,66
12/31/1762,CMSIGBW,64.5
12/31/1763,CMSIGBW,62.75
12/31/1764,CMSIGBW,63
12/31/1765,CMSIGBW,65
12/31/1766,CMSIGBW,65.125
12/31/1767,CMSIGBW,64.125
12/31/1768,CMSIGBW,66
12/31/1769,CMSIGBW,66.25
12/31/1770,CMSIGBW,66
12/31/1771,CMSIGBW,66.75
12/31/1772,CMSIGBW,64
12/31/1773,CMSIGBW,61.5
12/31/1774,CMSIGBW,63.25
12/31/1775,CMSIGBW,63.5
12/31/1776,CMSIGBW,66.5
12/31/1777,CMSIGBW,68.5
12/31/1778,CMSIGBW,61.25
12/31/1779,CMSIGBW,62.5
12/31/1780,CMSIGBW,66
12/31/1781,CMSIGBW,67.5
12/31/1782,CMSIGBW,67.5
12/31/1783,CMSIGBW,63.25
12/31/1784,CMSIGBW,60.5
12/31/1785,CMSIGBW,61.25
12/31/1786,CMSIGBW,61.5
12/31/1787,CMSIGBW,61.75
12/31/1788,CMSIGBW,62
12/31/1789,CMSIGBW,60.75
12/31/1790,CMSIGBW,61.75
12/31/1791,CMSIGBW,63
12/31/1792,CMSIGBW,63
12/31/1793,CMSIGBW,60
12/31/1794,CMSIGBW,60.5
12/31/1795,CMSIGBW,65.2
12/31/1796,CMSIGBW,65
12/31/1797,CMSIGBW,60.5
12/31/1798,CMSIGBW,60.5
12/31/1799,CMSIGBW,68
12/31/1800,CMSIGBW,68
12/31/1801,CMSIGBW,71
12/31/1802,CMSIGBW,67
12/31/1803,CMSIGBW,68
12/31/1804,CMSIGBW,65
12/31/1805,CMSIGBW,70
12/31/1806,CMSIGBW,70
12/31/1807,CMSIGBW,66
12/31/1808,CMSIGBW,66
12/31/1809,CMSIGBW,66
12/31/1810,CMSIGBW,66
12/31/1811,CMSIGBW,74
12/31/1812,CMSIGBW,76
12/31/1813,CMSIGBW,83
12/31/1814,CMSIGBW,67.125
12/31/1815,CMSIGBW,68.375
12/31/1816,CMSIGBW,61.125
12/31/1817,CMSIGBW,63
12/31/1818,CMSIGBW,64.5
12/31/1819,CMSIGBW,62
12/31/1820,CMSIGBW,59.5
12/31/1821,CMSIGBW,59.5
12/31/1822,CMSIGBW,59.5
12/31/1823,CMSIGBW,59
12/31/1824,CMSIGBW,60.5
12/31/1825,CMSIGBW,61.25
12/31/1826,CMSIGBW,59.5
12/31/1827,CMSIGBW,60.25
12/31/1828,CMSIGBW,59.875
12/31/1829,CMSIGBW,59.375
12/31/1830,CMSIGBW,59.75
12/31/1831,CMSIGBW,60.125
12/31/1832,CMSIGBW,58.75
12/31/1833,CMSIGBW,59.875
12/31/1834,CMSIGBW,59.8125
12/31/1835,CMSIGBW,59.625
12/31/1836,CMSIGBW,59.9375
12/31/1837,CMSIGBW,59.5
12/31/1838,CMSIGBW,60.25
12/31/1839,CMSIGBW,60.25
12/31/1840,CMSIGBW,60.375
